business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
CashLedgerReturnedPaymentImport,The CashLedgerReturnedPaymentImport Raw Data Web Service contains operations that expose CashLedgerReturnedPaymentImport-related data in the Infor Enterprise Business Services.,Y,single,CashLedgerReturnedPayment,CashLedgerReturnedPaymentImport,Y,CashLedgerReturnedPaymentImport,Y,Import,Y,,direct_variant,1,1,CashLedgerReturnedPaymentImport,,CashLedgerReturnedPaymentImport
CashLedgerTransactionImport,The CashLedgerTransactionImport Raw Data Web Service contains operations that expose CashLedgerTransactionImport-related data in the Infor Enterprise Business Services.,Y,single,CashLedgerTransaction,CashLedgerTransactionImport,Y,CashLedgerTransactionImport,Y,Import,Y,,direct_variant,1,1,CashLedgerTransactionImport,,CashLedgerTransactionImport
CashTransactionImportResult,The CashTransactionImportResult Raw Data Web Service contains operations that expose CashTransactionImportResult-related data in the Infor Enterprise Business Services.,Y,single,CashTransaction,CashTransactionImport,N,CashTransactionImport,N,Import,N,Result,suffix_member,1,1,CashTransactionImport,CashTransactionImportResult,CashTransactionImportResult
CompanyCashCodeAtributeImport,The CompanyCashCodeAtributeImport Raw Data Web Service contains operations that expose CompanyCashCodeAtributeImport-related data in the Infor Enterprise Business Services.,Y,single,CompanyCashCodeAtribute,CompanyCashCodeAtributeImport,Y,CompanyCashCodeAtributeImport,Y,Import,Y,,direct_variant,1,1,CompanyCashCodeAtributeImport,,CompanyCashCodeAtributeImport
CompanyCustomerOrderEntryImport,The CompanyCustomerOrderEntryImport Raw Data Web Service contains operations that expose CompanyCustomerOrderEntryImport-related data in the Infor Enterprise Business Services.,Y,single,CompanyCustomerOrderEntry,CompanyCustomerOrderEntryImport,Y,CompanyCustomerOrderEntryImport,Y,Import,Y,,direct_variant,1,1,CompanyCustomerOrderEntryImport,,CompanyCustomerOrderEntryImport
ContractGPOGHXInterface,The ContractGPOGHXInterface Raw Data Web Service contains operations that expose ContractGPOGHXInterface-related data in the Infor Enterprise Business Services.,Y,single,ContractGPOGHX,ContractGPOGHXInterface,Y,ContractGPOGHXInterface,Y,Interface,Y,,direct_variant,1,1,ContractGPOGHXInterface,,ContractGPOGHXInterface
CreditCardInterface,The CreditCardInterface Raw Data Web Service contains operations that expose CreditCardInterface-related tasks in the Infor Enterprise Business Services.,Y,single,CreditCard,CreditCardInterface,Y,CreditCardInterface,Y,Interface,Y,,direct_variant,1,1,CreditCardInterface,,CreditCardInterface
CustomerMappingTableInterface,The CustomerMappingTableInterface Raw Data Web Service contains operations that expose CustomerMappingTableInterface-related data in the Infor Enterprise Business Services.,Y,single,CustomerMappingTable,CustomerMappingTableInterface,Y,CustomerMappingTableInterface,Y,Interface,Y,,direct_variant,1,1,CustomerMappingTableInterface,,CustomerMappingTableInterface
CustomerOrderReturnHeaderImport,The CustomerOrderReturnHeaderImport Raw Data Web Service contains operations that expose CustomerOrderReturnHeaderImport-related data in the Infor Enterprise Business Services.,Y,single,CustomerOrderReturnHeader,CustomerOrderReturnHeaderImport,Y,CustomerOrderReturnHeaderImport,Y,Import,Y,,direct_variant,1,1,CustomerOrderReturnHeaderImport,,CustomerOrderReturnHeaderImport
DirectForecastDetailImport,The DirectForecastDetailImport Raw Data Web Service contains operations that expose DirectForecastDetailImport-related data in the Infor Enterprise Business Services.,Y,single,DirectForecastDetail,DirectForecastDetailImport,Y,DirectForecastDetailImport,Y,Import,Y,,direct_variant,1,1,DirectForecastDetailImport,,DirectForecastDetailImport
EDIInvoiceMatchInterfaceInput,The EDIInvoiceMatchInterfaceInput Raw Data Web Service contains operations that expose EDIInvoiceMatchInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,EDIInvoiceMatch,EDIInvoiceMatchInterface,N,EDIInvoiceMatchInterface,N,Interface,N,Input,suffix_member,1,1,EDIInvoiceMatchInterface,EDIInvoiceMatchInterfaceInput,EDIInvoiceMatchInterfaceInput
ExpenseInterface,The ExpenseInterface Raw Data Web Service contains operations that expose ExpenseInterface-related tasks in the Infor Enterprise Business Services.,Y,single,Expense,ExpenseInterface,Y,ExpenseInterface,Y,Interface,Y,,direct_variant,1,1,ExpenseInterface,,ExpenseInterface
FSMAPInboundBODImport,The FSMAPInboundBODImport Raw Data Web Service contains operations that expose FSMAPInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMAPInboundBOD,FSMAPInboundBODImport,Y,FSMAPInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMAPInboundBODImport,,FSMAPInboundBODImport
FSMARInboundBODImport,The FSMARInboundBODImport Raw Data Web Service contains operations that expose FSMARInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMARInboundBOD,FSMARInboundBODImport,Y,FSMARInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMARInboundBODImport,,FSMARInboundBODImport
FSMCDInboundBODImport,The FSMCDInboundBODImport Raw Data Web Service contains operations that expose FSMCDInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMCDInboundBOD,FSMCDInboundBODImport,Y,FSMCDInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMCDInboundBODImport,,FSMCDInboundBODImport
FSMGLInboundBODImport,The FSMGLInboundBODImport Raw Data Web Service contains operations that expose FSMGLInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMGLInboundBOD,FSMGLInboundBODImport,Y,FSMGLInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMGLInboundBODImport,,FSMGLInboundBODImport
FSMICInboundBODImport,The FSMICInboundBODImport Raw Data Web Service contains operations that expose FSMICInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMICInboundBOD,FSMICInboundBODImport,Y,FSMICInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMICInboundBODImport,,FSMICInboundBODImport
FSMPOInboundBODImport,The FSMPOInboundBODImport Raw Data Web Service contains operations that expose FSMPOInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMPOInboundBOD,FSMPOInboundBODImport,Y,FSMPOInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMPOInboundBODImport,,FSMPOInboundBODImport
FSMRQInboundBODImport,The FSMRQInboundBODImport Raw Data Web Service contains operations that expose FSMRQInboundBODImport-related data in the Infor Enterprise Business Services.,Y,single,FSMRQInboundBOD,FSMRQInboundBODImport,Y,FSMRQInboundBODImport,Y,Import,Y,,direct_variant,1,1,FSMRQInboundBODImport,,FSMRQInboundBODImport
FranchiseBudgetImport,The FranchiseBudgetImport Raw Data Web Service contains operations that expose FranchiseBudgetImport-related data in the Infor Enterprise Business Services.,Y,single,FranchiseBudget,FranchiseBudgetImport,Y,FranchiseBudgetImport,Y,Import,Y,,direct_variant,1,1,FranchiseBudgetImport,,FranchiseBudgetImport
GLInterfaceBudgetGroup,The GLInterfaceBudgetGroup Raw Data Web Service contains operations that expose GLInterfaceBudgetGroup-related data in the Infor Enterprise Business Services.,Y,single,GL,GLInterface,N,GLInterface,N,Interface,N,BudgetGroup,suffix_member,1,1,GLInterface,GLInterfaceBudgetGroup,GLInterfaceBudgetGroup
GLCommitInterface,The GLCommitInterface Raw Data Web Service contains operations that expose GLCommitInterface-related data in the Infor Enterprise Business Services.,Y,single,GLCommit,GLCommitInterface,Y,GLCommitInterface,Y,Interface,Y,,direct_variant,1,1,GLCommitInterface,,GLCommitInterface
GLReportImportInterface,The GLReportImportInterface Raw Data Web Service contains operations that expose GLReportImportInterface-related data in the Infor Enterprise Business Services.,Y,single,GLReport,GLReportImport,N,GLReportImport,N,Import,N,Interface,suffix_member,1,1,GLReportImport,GLReportImportInterface,GLReportImportInterface
GLReportExportInterface,The GLReportExportInterface Raw Data Web Service contains operations that expose GLReportExportInterface-related data in the Infor Enterprise Business Services.,Y,single,GLReportExport,GLReportExportInterface,Y,GLReportExportInterface,Y,Interface,Y,,direct_variant,1,1,GLReportExportInterface,,GLReportExportInterface
HL7ADTPatientInterface,The HL7ADTPatientInterface Raw Data Web Service contains operations that expose HL7ADTPatientInterface-related tasks in the Infor Enterprise Business Services.,Y,single,HL7ADTPatient,HL7ADTPatientInterface,Y,HL7ADTPatientInterface,Y,Interface,Y,,direct_variant,1,1,HL7ADTPatientInterface,,HL7ADTPatientInterface
HL7ItemMasterInterface,The HL7ItemMasterInterface Raw Data Web Service contains operations that expose HL7ItemMasterInterface-related tasks in the Infor Enterprise Business Services.,Y,single,HL7ItemMaster,HL7ItemMasterInterface,Y,HL7ItemMasterInterface,Y,Interface,Y,,direct_variant,1,1,HL7ItemMasterInterface,,HL7ItemMasterInterface
HandheldItemMasterInterface,The HandheldItemMasterInterface Raw Data Web Service contains operations that expose HandheldItemMasterInterface-related tasks in the Infor Enterprise Business Services.,Y,single,HandheldItemMaster,HandheldItemMasterInterface,Y,HandheldItemMasterInterface,Y,Interface,Y,,direct_variant,1,1,HandheldItemMasterInterface,,HandheldItemMasterInterface
InventoryBarCodeItemMasterInterface,The InventoryBarCodeItemMasterInterface Raw Data Web Service contains operations that expose InventoryBarCodeItemMasterInterface-related tasks in the Infor Enterprise Business Services.,Y,single,InventoryBarCodeItemMaster,InventoryBarCodeItemMasterInterface,Y,InventoryBarCodeItemMasterInterface,Y,Interface,Y,,direct_variant,1,1,InventoryBarCodeItemMasterInterface,,InventoryBarCodeItemMasterInterface
InventoryForecastInterface,The InventoryForecastInterface Raw Data Web Service contains operations that expose InventoryForecastInterface-related tasks in the Infor Enterprise Business Services.,Y,single,InventoryForecast,InventoryForecastInterface,Y,InventoryForecastInterface,Y,Interface,Y,,direct_variant,1,1,InventoryForecastInterface,,InventoryForecastInterface
InvoiceInterface,The InvoiceInterface Raw Data Web Service contains operations that expose InvoiceInterface-related tasks in the Infor Enterprise Business Services.,Y,single,Invoice,InvoiceInterface,Y,InvoiceInterface,Y,Interface,Y,,direct_variant,1,1,InvoiceInterface,,InvoiceInterface
ItemInterfaceInput,The ItemInterfaceInput Raw Data Web Service contains operations that expose ItemInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,Item,ItemInterface,N,ItemInterface,N,Interface,N,Input,suffix_member,1,1,ItemInterface,ItemInterfaceInput,ItemInterfaceInput
ItemLocationInterface,The ItemLocationInterface Raw Data Web Service contains operations that expose ItemLocationInterface-related data in the Infor Enterprise Business Services.,Y,single,ItemLocation,ItemLocationInterface,Y,ItemLocationInterface,Y,Interface,Y,,direct_variant,1,1,ItemLocationInterface,,ItemLocationInterface
LeasePaymentScheduleInterface,The LeasePaymentScheduleInterface Raw Data Web Service contains operations that expose LeasePaymentScheduleInterface-related tasks in the Infor Enterprise Business Services.,Y,single,LeasePaymentSchedule,LeasePaymentScheduleInterface,Y,LeasePaymentScheduleInterface,Y,Interface,Y,,direct_variant,1,1,LeasePaymentScheduleInterface,,LeasePaymentScheduleInterface
LocationItemUOMConvInterface,The LocationItemUOMConvInterface Raw Data Web Service contains operations that expose LocationItemUOMConvInterface-related data in the Infor Enterprise Business Services.,Y,single,LocationItemUOMConv,LocationItemUOMConvInterface,Y,LocationItemUOMConvInterface,Y,Interface,Y,,direct_variant,1,1,LocationItemUOMConvInterface,,LocationItemUOMConvInterface
MatchPurchaseOrderInvoiceImport,The MatchPurchaseOrderInvoiceImport Raw Data Web Service contains operations that expose MatchPurchaseOrderInvoiceImport-related data in the Infor Enterprise Business Services.,Y,single,MatchPurchaseOrderInvoice,MatchPurchaseOrderInvoiceImport,Y,MatchPurchaseOrderInvoiceImport,Y,Import,Y,,direct_variant,1,1,MatchPurchaseOrderInvoiceImport,,MatchPurchaseOrderInvoiceImport
MatchServiceContractInvoiceImport,The MatchServiceContractInvoiceImport Raw Data Web Service contains operations that expose MatchServiceContractInvoiceImport-related data in the Infor Enterprise Business Services.,Y,single,MatchServiceContractInvoice,MatchServiceContractInvoiceImport,Y,MatchServiceContractInvoiceImport,Y,Import,Y,,direct_variant,1,1,MatchServiceContractInvoiceImport,,MatchServiceContractInvoiceImport
OrderEntryInterfaceInput,The OrderEntryInterfaceInput Raw Data Web Service contains operations that expose OrderEntryInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,OrderEntry,OrderEntryInterface,N,OrderEntryInterface,N,Interface,N,Input,suffix_member,1,1,OrderEntryInterface,OrderEntryInterfaceInput,OrderEntryInterfaceInput
OrderEntryCustomerImport,The OrderEntryCustomerImport Raw Data Web Service contains operations that expose OrderEntryCustomerImport-related data in the Infor Enterprise Business Services.,Y,single,OrderEntryCustomer,OrderEntryCustomerImport,Y,OrderEntryCustomerImport,Y,Import,Y,,direct_variant,1,1,OrderEntryCustomerImport,,OrderEntryCustomerImport
OrderEntryReturnInterfaceInput,The OrderEntryReturnInterfaceInput Raw Data Web Service contains operations that expose OrderEntryReturnInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,OrderEntryReturn,OrderEntryReturnInterface,N,OrderEntryReturnInterface,N,Interface,N,Input,suffix_member,1,1,OrderEntryReturnInterface,OrderEntryReturnInterfaceInput,OrderEntryReturnInterfaceInput
OrderEntryReturnFeedbackInterface,The OrderEntryReturnFeedbackInterface Raw Data Web Service contains operations that expose OrderEntryReturnFeedbackInterface-related tasks in the Infor Enterprise Business Services.,Y,single,OrderEntryReturnFeedback,OrderEntryReturnFeedbackInterface,Y,OrderEntryReturnFeedbackInterface,Y,Interface,Y,,direct_variant,1,1,OrderEntryReturnFeedbackInterface,,OrderEntryReturnFeedbackInterface
OrderEntrySalesOrderImport,The OrderEntrySalesOrderImport Raw Data Web Service contains operations that expose OrderEntrySalesOrderImport-related tasks in the Infor Enterprise Business Services.,Y,single,OrderEntrySalesOrder,OrderEntrySalesOrderImport,Y,OrderEntrySalesOrderImport,Y,Import,Y,,direct_variant,1,1,OrderEntrySalesOrderImport,,OrderEntrySalesOrderImport
POReceiptImportError,The POReceiptImportError Raw Data Web Service contains operations that expose POReceiptImportError-related data in the Infor Enterprise Business Services.,Y,single,POReceipt,POReceiptImport,N,POReceiptImport,N,Import,N,Error,suffix_member,1,1,POReceiptImport,POReceiptImportError,POReceiptImportError
POReceiptAdjustmentAndInspectionImport,The POReceiptAdjustmentAndInspectionImport Raw Data Web Service contains operations that expose POReceiptAdjustmentAndInspectionImport-related data in the Infor Enterprise Business Services.,Y,single,POReceiptAdjustmentAndInspection,POReceiptAdjustmentAndInspectionImport,Y,POReceiptAdjustmentAndInspectionImport,Y,Import,Y,,direct_variant,1,1,POReceiptAdjustmentAndInspectionImport,,POReceiptAdjustmentAndInspectionImport
POReceiptInventoryDetailImport,The POReceiptInventoryDetailImport Raw Data Web Service contains operations that expose POReceiptInventoryDetailImport-related data in the Infor Enterprise Business Services.,Y,single,POReceiptInventoryDetail,POReceiptInventoryDetailImport,Y,POReceiptInventoryDetailImport,Y,Import,Y,,direct_variant,1,1,POReceiptInventoryDetailImport,,POReceiptInventoryDetailImport
PatientInterfaceInput,The PatientInterfaceInput Raw Data Web Service contains operations that expose PatientInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,Patient,PatientInterface,N,PatientInterface,N,Interface,N,Input,suffix_member,1,1,PatientInterface,PatientInterfaceInput,PatientInterfaceInput
ProjectAssetInterface,The ProjectAssetInterface Raw Data Web Service contains operations that expose ProjectAssetInterface-related data in the Infor Enterprise Business Services.,Y,single,ProjectAsset,ProjectAssetInterface,Y,ProjectAssetInterface,Y,Interface,Y,,direct_variant,1,1,ProjectAssetInterface,,ProjectAssetInterface
PurchasingArrivalInterface,The PurchasingArrivalInterface Raw Data Web Service contains operations that expose PurchasingArrivalInterface-related tasks in the Infor Enterprise Business Services.,Y,single,PurchasingArrival,PurchasingArrivalInterface,Y,PurchasingArrivalInterface,Y,Interface,Y,,direct_variant,1,1,PurchasingArrivalInterface,,PurchasingArrivalInterface
ReceiptInterfaceInput,The ReceiptInterfaceInput Raw Data Web Service contains operations that expose ReceiptInterfaceInput-related data in the Infor Enterprise Business Services.,Y,single,Receipt,ReceiptInterface,N,ReceiptInterface,N,Interface,N,Input,suffix_member,1,1,ReceiptInterface,ReceiptInterfaceInput,ReceiptInterfaceInput
ReceivableApplicationImport,The ReceivableApplicationImport Raw Data Web Service contains operations that expose ReceivableApplicationImport-related data in the Infor Enterprise Business Services.,Y,single,ReceivableApplication,ReceivableApplicationImport,Y,ReceivableApplicationImport,Y,Import,Y,,direct_variant,1,1,ReceivableApplicationImport,,ReceivableApplicationImport
ReceivableApplicationAdjustmentImport,The ReceivableApplicationAdjustmentImport Raw Data Web Service contains operations that expose ReceivableApplicationAdjustmentImport-related data in the Infor Enterprise Business Services.,Y,single,ReceivableApplicationAdjustment,ReceivableApplicationAdjustmentImport,Y,ReceivableApplicationAdjustmentImport,Y,Import,Y,,direct_variant,1,1,ReceivableApplicationAdjustmentImport,,ReceivableApplicationAdjustmentImport
ReceivableInvoiceDistributionSGBLKImport,The ReceivableInvoiceDistributionSGBLKImport Raw Data Web Service contains operations that expose ReceivableInvoiceDistributionSGBLKImport-related data in the Infor Enterprise Business Services.,Y,single,ReceivableInvoiceDistributionSGBLK,ReceivableInvoiceDistributionSGBLKImport,Y,ReceivableInvoiceDistributionSGBLKImport,Y,Import,Y,,direct_variant,1,1,ReceivableInvoiceDistributionSGBLKImport,,ReceivableInvoiceDistributionSGBLKImport
ReceivableLockBoxImport,The ReceivableLockBoxImport Raw Data Web Service contains operations that expose ReceivableLockBoxImport-related data in the Infor Enterprise Business Services.,Y,single,ReceivableLockBox,ReceivableLockBoxImport,Y,ReceivableLockBoxImport,Y,Import,Y,,direct_variant,1,1,ReceivableLockBoxImport,,ReceivableLockBoxImport
ReceivablesInterfaceResult,The ReceivablesInterfaceResult Raw Data Web Service contains operations that expose ReceivablesInterfaceResult-related data in the Infor Enterprise Business Services.,Y,single,Receivables,ReceivablesInterface,N,ReceivablesInterface,N,Interface,N,Result,suffix_member,1,1,ReceivablesInterface,ReceivablesInterfaceResult,ReceivablesInterfaceResult
ReconciliationInterface,The ReconciliationInterface Raw Data Web Service contains operations that expose ReconciliationInterface-related data in the Infor Enterprise Business Services.,Y,single,Reconciliation,ReconciliationInterface,Y,ReconciliationInterface,Y,Interface,Y,,direct_variant,1,1,ReconciliationInterface,,ReconciliationInterface
SalesBudgetInterface,The SalesBudgetInterface Raw Data Web Service contains operations that expose SalesBudgetInterface-related tasks in the Infor Enterprise Business Services.,Y,single,SalesBudget,SalesBudgetInterface,Y,SalesBudgetInterface,Y,Interface,Y,,direct_variant,1,1,SalesBudgetInterface,,SalesBudgetInterface
ShipToLoadImport,The ShipToLoadImport Raw Data Web Service contains operations that expose ShipToLoadImport-related data in the Infor Enterprise Business Services.,Y,single,ShipToLoad,ShipToLoadImport,Y,ShipToLoadImport,Y,Import,Y,,direct_variant,1,1,ShipToLoadImport,,ShipToLoadImport
TrueCostAssetManagementInterface,The TrueCostAssetManagementInterface Raw Data Web Service contains operations that expose TrueCostAssetManagementInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostAssetManagement,TrueCostAssetManagementInterface,Y,TrueCostAssetManagementInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostAssetManagementInterface,,TrueCostAssetManagementInterface
TrueCostDriverEventInterface,The TrueCostDriverEventInterface Raw Data Web Service contains operations that expose TrueCostDriverEventInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostDriverEvent,TrueCostDriverEventInterface,Y,TrueCostDriverEventInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostDriverEventInterface,,TrueCostDriverEventInterface
TrueCostInventoryTransactionInterface,The TrueCostInventoryTransactionInterface Raw Data Web Service contains operations that expose TrueCostInventoryTransactionInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostInventoryTransaction,TrueCostInventoryTransactionInterface,Y,TrueCostInventoryTransactionInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostInventoryTransactionInterface,,TrueCostInventoryTransactionInterface
TrueCostMSCMExtractInterface,The TrueCostMSCMExtractInterface Raw Data Web Service contains operations that expose TrueCostMSCMExtractInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostMSCMExtract,TrueCostMSCMExtractInterface,Y,TrueCostMSCMExtractInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostMSCMExtractInterface,,TrueCostMSCMExtractInterface
TrueCostPayrollDataInterface,The TrueCostPayrollDataInterface Raw Data Web Service contains operations that expose TrueCostPayrollDataInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostPayrollData,TrueCostPayrollDataInterface,Y,TrueCostPayrollDataInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostPayrollDataInterface,,TrueCostPayrollDataInterface
TrueCostPracticalCapacityInterface,The TrueCostPracticalCapacityInterface Raw Data Web Service contains operations that expose TrueCostPracticalCapacityInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostPracticalCapacity,TrueCostPracticalCapacityInterface,Y,TrueCostPracticalCapacityInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostPracticalCapacityInterface,,TrueCostPracticalCapacityInterface
TrueCostResourceIntensityFactorDataInterface,The TrueCostResourceIntensityFactorDataInterface Raw Data Web Service contains operations that expose TrueCostResourceIntensityFactorDataInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostResourceIntensityFactorData,TrueCostResourceIntensityFactorDataInterface,Y,TrueCostResourceIntensityFactorDataInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostResourceIntensityFactorDataInterface,,TrueCostResourceIntensityFactorDataInterface
TrueCostResourceUtilizationDriverEventInterface,The TrueCostResourceUtilizationDriverEventInterface Raw Data Web Service contains operations that expose TrueCostResourceUtilizationDriverEventInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostResourceUtilizationDriverEvent,TrueCostResourceUtilizationDriverEventInterface,Y,TrueCostResourceUtilizationDriverEventInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostResourceUtilizationDriverEventInterface,,TrueCostResourceUtilizationDriverEventInterface
TrueCostUnutilizedCapacityInterface,The TrueCostUnutilizedCapacityInterface Raw Data Web Service contains operations that expose TrueCostUnutilizedCapacityInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostUnutilizedCapacity,TrueCostUnutilizedCapacityInterface,Y,TrueCostUnutilizedCapacityInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostUnutilizedCapacityInterface,,TrueCostUnutilizedCapacityInterface
TrueCostWeightDataInterface,The TrueCostWeightDataInterface Raw Data Web Service contains operations that expose TrueCostWeightDataInterface-related data in the Infor Enterprise Business Services.,Y,single,TrueCostWeightData,TrueCostWeightDataInterface,Y,TrueCostWeightDataInterface,Y,Interface,Y,,direct_variant,1,1,TrueCostWeightDataInterface,,TrueCostWeightDataInterface
UnitOfMeasureImport,The UnitOfMeasureImport Raw Data Web Service contains operations that expose UnitOfMeasureImport-related data in the Infor Enterprise Business Services.,Y,single,UnitOfMeasure,UnitOfMeasureImport,Y,UnitOfMeasureImport,Y,Import,Y,,direct_variant,1,1,UnitOfMeasureImport,,UnitOfMeasureImport
UnutilizedCapacityCostObjectInterface,The UnutilizedCapacityCostObjectInterface Raw Data Web Service contains operations that expose UnutilizedCapacityCostObjectInterface-related data in the Infor Enterprise Business Services.,Y,single,UnutilizedCapacityCostObject,UnutilizedCapacityCostObjectInterface,Y,UnutilizedCapacityCostObjectInterface,Y,Interface,Y,,direct_variant,1,1,UnutilizedCapacityCostObjectInterface,,UnutilizedCapacityCostObjectInterface
VendorBalanceImport,The VendorBalanceImport Raw Data Web Service contains operations that expose VendorBalanceImport-related data in the Infor Enterprise Business Services.,Y,single,VendorBalance,VendorBalanceImport,Y,VendorBalanceImport,Y,Import,Y,,direct_variant,1,1,VendorBalanceImport,,VendorBalanceImport
