load_family_root,single_or_multiple,member_count,family_root_base_count,family_root_bases_csv,family_root_bases_present_in_fsm_csv,variant_base_count,variant_bases_csv,related_member_count,related_members_csv,members_csv
TrueCostDriverEvent,single,1,1,TrueCostDriverEventInterface,TrueCostDriverEventInterface,1,TrueCostDriverEventInterface,0,,TrueCostDriverEventInterface
TrueCostInventoryTransaction,single,1,1,TrueCostInventoryTransactionInterface,TrueCostInventoryTransactionInterface,1,TrueCostInventoryTransactionInterface,0,,TrueCostInventoryTransactionInterface
TrueCostMSCMExtract,single,1,1,TrueCostMSCMExtractInterface,TrueCostMSCMExtractInterface,1,TrueCostMSCMExtractInterface,0,,TrueCostMSCMExtractInterface
TrueCostPayrollData,single,1,1,TrueCostPayrollDataInterface,TrueCostPayrollDataInterface,1,TrueCostPayrollDataInterface,0,,TrueCostPayrollDataInterface
TrueCostPracticalCapacity,single,1,1,TrueCostPracticalCapacityInterface,TrueCostPracticalCapacityInterface,1,TrueCostPracticalCapacityInterface,0,,TrueCostPracticalCapacityInterface
TrueCostResourceIntensityFactorData,single,1,1,TrueCostResourceIntensityFactorDataInterface,TrueCostResourceIntensityFactorDataInterface,1,TrueCostResourceIntensityFactorDataInterface,0,,TrueCostResourceIntensityFactorDataInterface
TrueCostResourceUtilizationDriverEvent,single,1,1,TrueCostResourceUtilizationDriverEventInterface,TrueCostResourceUtilizationDriverEventInterface,1,TrueCostResourceUtilizationDriverEventInterface,0,,TrueCostResourceUtilizationDriverEventInterface
TrueCostUnutilizedCapacity,single,1,1,TrueCostUnutilizedCapacityInterface,TrueCostUnutilizedCapacityInterface,1,TrueCostUnutilizedCapacityInterface,0,,TrueCostUnutilizedCapacityInterface
TrueCostWeightData,single,1,1,TrueCostWeightDataInterface,TrueCostWeightDataInterface,1,TrueCostWeightDataInterface,0,,TrueCostWeightDataInterface
UnitOfMeasure,single,1,1,UnitOfMeasureImport,UnitOfMeasureImport,1,UnitOfMeasureImport,0,,UnitOfMeasureImport
UnutilizedCapacityCostObject,single,1,1,UnutilizedCapacityCostObjectInterface,UnutilizedCapacityCostObjectInterface,1,UnutilizedCapacityCostObjectInterface,0,,UnutilizedCapacityCostObjectInterface
VendorBalance,single,1,1,VendorBalanceImport,VendorBalanceImport,1,VendorBalanceImport,0,,VendorBalanceImport
VendorExcludeTemplate,single,1,1,VendorExcludeTemplateImport,VendorExcludeTemplateImport,1,VendorExcludeTemplateImport,0,,VendorExcludeTemplateImport
VendorMappingTable,single,1,1,VendorMappingTableInterface,VendorMappingTableInterface,1,VendorMappingTableInterface,0,,VendorMappingTableInterface
WarehouseBatchFeedback,single,1,1,WarehouseBatchFeedbackInterface,WarehouseBatchFeedbackInterface,1,WarehouseBatchFeedbackInterface,0,,WarehouseBatchFeedbackInterface
WarehouseFeedback,single,1,1,WarehouseFeedbackInterface,,1,WarehouseFeedbackInterface,1,WarehouseFeedbackInterfaceInput,WarehouseFeedbackInterfaceInput
WarehouseForecastDemand,single,1,1,WarehouseForecastDemandInterface,WarehouseForecastDemandInterface,1,WarehouseForecastDemandInterface,0,,WarehouseForecastDemandInterface
Asset,multiple,6,2,"AssetImport, AssetInterface","AssetImport, AssetInterface",3,"AssetCommentImport, AssetImport, AssetInterface",4,"AssetCommentImport, AssetImportFund, AssetInterfaceFund, AssetInterfaceOptions","AssetCommentImport, AssetImport, AssetImportFund, AssetInterface, AssetInterfaceFund, AssetInterfaceOptions"
AssetBook,multiple,2,1,AssetBookImport,AssetBookImport,2,"AssetBookAdditionalImport, AssetBookImport",1,AssetBookAdditionalImport,"AssetBookAdditionalImport, AssetBookImport"
AssetItem,multiple,2,1,AssetItemImport,AssetItemImport,1,AssetItemImport,1,AssetItemImportFund,"AssetItemImport, AssetItemImportFund"
AssetManagement,multiple,2,1,AssetManagementInterface,AssetManagementInterface,1,AssetManagementInterface,1,AssetManagementInterfaceResult,"AssetManagementInterface, AssetManagementInterfaceResult"
BankStatement,multiple,4,1,BankStatementInterface,BankStatementInterface,1,BankStatementInterface,3,"BankStatementInterfaceHeader, BankStatementInterfaceHeaderError, BankStatementInterfaceTask","BankStatementInterface, BankStatementInterfaceHeader, BankStatementInterfaceHeaderError, BankStatementInterfaceTask"
Billing,multiple,2,1,BillingInterface,BillingInterface,1,BillingInterface,1,BillingInterfaceResult,"BillingInterface, BillingInterfaceResult"
BillingInvoice,multiple,4,1,BillingInvoiceImport,BillingInvoiceImport,2,"BillingInvoiceAddOnChargeImport, BillingInvoiceImport",3,"BillingInvoiceAddOnChargeImport, BillingInvoiceImportComments, BillingInvoiceImportLine","BillingInvoiceAddOnChargeImport, BillingInvoiceImport, BillingInvoiceImportComments, BillingInvoiceImportLine"
Budget,multiple,2,1,BudgetImport,BudgetImport,1,BudgetImport,1,BudgetImportResult,"BudgetImport, BudgetImportResult"
CompanyCustomer,multiple,5,1,CompanyCustomerImport,CompanyCustomerImport,5,"CompanyCustomerBankAccountImport, CompanyCustomerContactImport, CompanyCustomerEFTImport, CompanyCustomerImport, CompanyCustomerPeriodImport",4,"CompanyCustomerBankAccountImport, CompanyCustomerContactImport, CompanyCustomerEFTImport, CompanyCustomerPeriodImport","CompanyCustomerBankAccountImport, CompanyCustomerContactImport, CompanyCustomerEFTImport, CompanyCustomerImport, CompanyCustomerPeriodImport"
ConfigDocument,multiple,4,1,ConfigDocumentInterface,,1,ConfigDocumentInterface,4,"ConfigDocumentInterfaceAddOnChargeLog, ConfigDocumentInterfaceDetailLog, ConfigDocumentInterfaceDistributionLog, ConfigDocumentInterfaceInvoiceLog","ConfigDocumentInterfaceAddOnChargeLog, ConfigDocumentInterfaceDetailLog, ConfigDocumentInterfaceDistributionLog, ConfigDocumentInterfaceInvoiceLog"
Contract,multiple,16,2,"ContractImport, ContractInterface",ContractImport,3,"ContractImport, ContractInterface, ContractLineImport",15,"ContractImportDistributor, ContractImportGPOMembership, ContractImportGPOSupplier, ContractImportGPOSupplierUOM, ContractImportPriceChange, ContractImportTier, ContractImportTierDistributor, ContractImportTierMember, ContractImportTierQualCode, ContractImportTierQualifier, ContractInterfaceCatalog, ContractLineImport, ContractLineImportDistributor, ContractLineImportError, ContractLineImportTierCost","ContractImport, ContractImportDistributor, ContractImportGPOMembership, ContractImportGPOSupplier, ContractImportGPOSupplierUOM, ContractImportPriceChange, ContractImportTier, ContractImportTierDistributor, ContractImportTierMember, ContractImportTierQualCode, ContractImportTierQualifier, ContractInterfaceCatalog, ContractLineImport, ContractLineImportDistributor, ContractLineImportError, ContractLineImportTierCost"
Customer,multiple,5,2,"CustomerImport, CustomerInterface",CustomerImport,5,"CustomerBillToImport, CustomerCreditCardImport, CustomerDraftImport, CustomerImport, CustomerInterface",4,"CustomerBillToImport, CustomerCreditCardImport, CustomerDraftImport, CustomerInterfaceResult","CustomerBillToImport, CustomerCreditCardImport, CustomerDraftImport, CustomerImport, CustomerInterfaceResult"
CustomerOrderReturnDetail,multiple,3,1,CustomerOrderReturnDetailImport,CustomerOrderReturnDetailImport,1,CustomerOrderReturnDetailImport,2,"CustomerOrderReturnDetailImportComment, CustomerOrderReturnDetailImportLotBinSerial","CustomerOrderReturnDetailImport, CustomerOrderReturnDetailImportComment, CustomerOrderReturnDetailImportLotBinSerial"
Document,multiple,9,1,DocumentInterface,,1,DocumentInterface,9,"DocumentInterfaceAddOnCharge, DocumentInterfaceComment, DocumentInterfaceDetail, DocumentInterfaceDistribution, DocumentInterfaceError, DocumentInterfaceInvoice, DocumentInterfacePurchaseOrder, DocumentInterfaceRule, DocumentInterfaceServiceContract","DocumentInterfaceAddOnCharge, DocumentInterfaceComment, DocumentInterfaceDetail, DocumentInterfaceDistribution, DocumentInterfaceError, DocumentInterfaceInvoice, DocumentInterfacePurchaseOrder, DocumentInterfaceRule, DocumentInterfaceServiceContract"
DocumentARPayment,multiple,3,1,DocumentARPaymentImport,DocumentARPaymentImport,2,"DocumentARPaymentImport, DocumentARPaymentRemitImport",2,"DocumentARPaymentImportError, DocumentARPaymentRemitImport","DocumentARPaymentImport, DocumentARPaymentImportError, DocumentARPaymentRemitImport"
ExpenseManagement,multiple,8,1,ExpenseManagementInterface,,1,ExpenseManagementInterface,8,"ExpenseManagementInterfaceAllocation, ExpenseManagementInterfaceConfiguration, ExpenseManagementInterfaceCreditCardIssuer, ExpenseManagementInterfaceDetail, ExpenseManagementInterfaceExpenseType, ExpenseManagementInterfaceHeader, ExpenseManagementInterfacePaymentRequestType, ExpenseManagementInterfaceResult","ExpenseManagementInterfaceAllocation, ExpenseManagementInterfaceConfiguration, ExpenseManagementInterfaceCreditCardIssuer, ExpenseManagementInterfaceDetail, ExpenseManagementInterfaceExpenseType, ExpenseManagementInterfaceHeader, ExpenseManagementInterfacePaymentRequestType, ExpenseManagementInterfaceResult"
FSMDatabase,multiple,3,1,FSMDatabaseImport,FSMDatabaseImport,1,FSMDatabaseImport,2,"FSMDatabaseImportControl, FSMDatabaseImportHistory","FSMDatabaseImport, FSMDatabaseImportControl, FSMDatabaseImportHistory"
FinanceJournal,multiple,2,1,FinanceJournalInterface,FinanceJournalInterface,1,FinanceJournalInterface,1,FinanceJournalInterfaceLine,"FinanceJournalInterface, FinanceJournalInterfaceLine"
FranchiseSales,multiple,2,2,"FranchiseSalesImport, FranchiseSalesInterface","FranchiseSalesImport, FranchiseSalesInterface",2,"FranchiseSalesImport, FranchiseSalesInterface",0,,"FranchiseSalesImport, FranchiseSalesInterface"
GLExchangeRate,multiple,2,1,GLExchangeRateInterface,GLExchangeRateInterface,1,GLExchangeRateInterface,1,GLExchangeRateInterfaceResult,"GLExchangeRateInterface, GLExchangeRateInterfaceResult"
GLTransaction,multiple,3,1,GLTransactionInterface,GLTransactionInterface,1,GLTransactionInterface,2,"GLTransactionInterfaceEdit, GLTransactionInterfaceResult","GLTransactionInterface, GLTransactionInterfaceEdit, GLTransactionInterfaceResult"
GLTranslationRate,multiple,2,1,GLTranslationRateInterface,GLTranslationRateInterface,1,GLTranslationRateInterface,1,GLTranslationRateInterfaceResult,"GLTranslationRateInterface, GLTranslationRateInterfaceResult"
InventoryTransaction,multiple,5,2,"InventoryTransactionImport, InventoryTransactionInterface","InventoryTransactionImport, InventoryTransactionInterface",2,"InventoryTransactionImport, InventoryTransactionInterface",3,"InventoryTransactionImportLine, InventoryTransactionImportLineDetail, InventoryTransactionInterfaceResult","InventoryTransactionImport, InventoryTransactionImportLine, InventoryTransactionImportLineDetail, InventoryTransactionInterface, InventoryTransactionInterfaceResult"
Lease,multiple,3,2,"LeaseImport, LeaseInterface","LeaseImport, LeaseInterface",3,"LeaseImport, LeaseInterface, LeasePaymentImport",1,LeasePaymentImport,"LeaseImport, LeaseInterface, LeasePaymentImport"
Load,multiple,2,1,LoadInterface,,1,LoadInterface,2,"LoadInterfacedProcurementCardStatements, LoadInterfacedPurchaseOrders","LoadInterfacedProcurementCardStatements, LoadInterfacedPurchaseOrders"
MatchInvoice,multiple,3,1,MatchInvoiceImport,MatchInvoiceImport,2,"MatchInvoiceDistributionImport, MatchInvoiceImport",2,"MatchInvoiceDistributionImport, MatchInvoiceImportComment","MatchInvoiceDistributionImport, MatchInvoiceImport, MatchInvoiceImportComment"
PO,multiple,4,1,POInterface,POInterface,1,POInterface,3,"POInterfaceLPL, POInterfaceResult, POInterfaceResultDetail","POInterface, POInterfaceLPL, POInterfaceResult, POInterfaceResultDetail"
PayablesInvoice,multiple,8,2,"PayablesInvoiceImport, PayablesInvoiceInterface",PayablesInvoiceImport,6,"PayablesInvoiceAddOnChargeImport, PayablesInvoiceDetailImport, PayablesInvoiceDistributionImport, PayablesInvoiceImport, PayablesInvoiceInterface, PayablesInvoicePaymentImport",7,"PayablesInvoiceAddOnChargeImport, PayablesInvoiceDetailImport, PayablesInvoiceDistributionImport, PayablesInvoiceImportComment, PayablesInvoiceImportError, PayablesInvoiceInterfaceResult, PayablesInvoicePaymentImport","PayablesInvoiceAddOnChargeImport, PayablesInvoiceDetailImport, PayablesInvoiceDistributionImport, PayablesInvoiceImport, PayablesInvoiceImportComment, PayablesInvoiceImportError, PayablesInvoiceInterfaceResult, PayablesInvoicePaymentImport"
PhysicalInventory,multiple,3,2,"PhysicalInventoryImport, PhysicalInventoryInterface","PhysicalInventoryImport, PhysicalInventoryInterface",2,"PhysicalInventoryImport, PhysicalInventoryInterface",1,PhysicalInventoryInterfaceResult,"PhysicalInventoryImport, PhysicalInventoryInterface, PhysicalInventoryInterfaceResult"
ProcurementCardStatement,multiple,4,2,"ProcurementCardStatementImport, ProcurementCardStatementInterface",ProcurementCardStatementImport,2,"ProcurementCardStatementImport, ProcurementCardStatementInterface",3,"ProcurementCardStatementImportTransaction, ProcurementCardStatementImportTransactionDistribution, ProcurementCardStatementInterfaceResult","ProcurementCardStatementImport, ProcurementCardStatementImportTransaction, ProcurementCardStatementImportTransactionDistribution, ProcurementCardStatementInterfaceResult"
PurchaseOrder,multiple,11,2,"PurchaseOrderImport, PurchaseOrderInterface","PurchaseOrderImport, PurchaseOrderInterface",2,"PurchaseOrderImport, PurchaseOrderInterface",9,"PurchaseOrderImportAddOnCharge, PurchaseOrderImportAssetDefaults, PurchaseOrderImportComment, PurchaseOrderImportLine, PurchaseOrderImportLineDistribution, PurchaseOrderInterfaceAddOnCharge, PurchaseOrderInterfaceComment, PurchaseOrderInterfaceInput, PurchaseOrderInterfaceResult","PurchaseOrderImport, PurchaseOrderImportAddOnCharge, PurchaseOrderImportAssetDefaults, PurchaseOrderImportComment, PurchaseOrderImportLine, PurchaseOrderImportLineDistribution, PurchaseOrderInterface, PurchaseOrderInterfaceAddOnCharge, PurchaseOrderInterfaceComment, PurchaseOrderInterfaceInput, PurchaseOrderInterfaceResult"
PurchaseOrderReceipt,multiple,4,2,"PurchaseOrderReceiptImport, PurchaseOrderReceiptInterface",PurchaseOrderReceiptImport,4,"PurchaseOrderReceiptImport, PurchaseOrderReceiptInterface, PurchaseOrderReceiptLineAOCImport, PurchaseOrderReceiptLineImport",3,"PurchaseOrderReceiptInterfaceResult, PurchaseOrderReceiptLineAOCImport, PurchaseOrderReceiptLineImport","PurchaseOrderReceiptImport, PurchaseOrderReceiptInterfaceResult, PurchaseOrderReceiptLineAOCImport, PurchaseOrderReceiptLineImport"
ReceivableInvoice,multiple,5,1,ReceivableInvoiceImport,ReceivableInvoiceImport,5,"ReceivableInvoiceCommentImport, ReceivableInvoiceDetailImport, ReceivableInvoiceDisputeImport, ReceivableInvoiceDistributionImport, ReceivableInvoiceImport",4,"ReceivableInvoiceCommentImport, ReceivableInvoiceDetailImport, ReceivableInvoiceDisputeImport, ReceivableInvoiceDistributionImport","ReceivableInvoiceCommentImport, ReceivableInvoiceDetailImport, ReceivableInvoiceDisputeImport, ReceivableInvoiceDistributionImport, ReceivableInvoiceImport"
ReceivableNonARPayment,multiple,2,1,ReceivableNonARPaymentImport,ReceivableNonARPaymentImport,2,"ReceivableNonARPaymentDistributionImport, ReceivableNonARPaymentImport",1,ReceivableNonARPaymentDistributionImport,"ReceivableNonARPaymentDistributionImport, ReceivableNonARPaymentImport"
ReceivablePayment,multiple,5,1,ReceivablePaymentImport,ReceivablePaymentImport,3,"ReceivablePaymentCashDetailImport, ReceivablePaymentImport, ReceivablePaymentRemitImport",4,"ReceivablePaymentCashDetailImport, ReceivablePaymentImport2, ReceivablePaymentImport3, ReceivablePaymentRemitImport","ReceivablePaymentCashDetailImport, ReceivablePaymentImport, ReceivablePaymentImport2, ReceivablePaymentImport3, ReceivablePaymentRemitImport"
Requisition,multiple,8,2,"RequisitionImport, RequisitionInterface","RequisitionImport, RequisitionInterface",2,"RequisitionImport, RequisitionInterface",6,"RequisitionImportAddOnCharge, RequisitionImportComment, RequisitionImportLine, RequisitionImportLineDistribution, RequisitionInterfaceInput, RequisitionInterfaceResult","RequisitionImport, RequisitionImportAddOnCharge, RequisitionImportComment, RequisitionImportLine, RequisitionImportLineDistribution, RequisitionInterface, RequisitionInterfaceInput, RequisitionInterfaceResult"
Vendor,multiple,5,1,VendorImport,VendorImport,5,"VendorAddressImport, VendorCertificationImport, VendorContactImport, VendorImport, VendorWithholdingCodeImport",4,"VendorAddressImport, VendorCertificationImport, VendorContactImport, VendorWithholdingCodeImport","VendorAddressImport, VendorCertificationImport, VendorContactImport, VendorImport, VendorWithholdingCodeImport"
WarehouseShipment,multiple,7,2,"WarehouseShipmentImport, WarehouseShipmentInterface",WarehouseShipmentImport,3,"WarehouseShipmentImport, WarehouseShipmentInterface, WarehouseShipmentTrackingImport",6,"WarehouseShipmentImportCarton, WarehouseShipmentImportLine, WarehouseShipmentImportLineCarton, WarehouseShipmentImportLineDetail, WarehouseShipmentInterfacePurge, WarehouseShipmentTrackingImport","WarehouseShipmentImport, WarehouseShipmentImportCarton, WarehouseShipmentImportLine, WarehouseShipmentImportLineCarton, WarehouseShipmentImportLineDetail, WarehouseShipmentInterfacePurge, WarehouseShipmentTrackingImport"
