business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
AM300AstOut,The AM300AstOut Raw Data Web Service contains operations that expose AM300AstOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AtfOut,The AM300AtfOut Raw Data Web Service contains operations that expose AM300AtfOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300CmtastOut,The AM300CmtastOut Raw Data Web Service contains operations that expose AM300CmtastOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300CvaOut,The AM300CvaOut Raw Data Web Service contains operations that expose AM300CvaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300ItrOut,The AM300ItrOut Raw Data Web Service contains operations that expose AM300ItrOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300RibOut,The AM300RibOut Raw Data Web Service contains operations that expose AM300RibOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300RinOut,The AM300RinOut Raw Data Web Service contains operations that expose AM300RinOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300RitOut,The AM300RitOut Raw Data Web Service contains operations that expose AM300RitOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300UrlastOut,The AM300UrlastOut Raw Data Web Service contains operations that expose AM300UrlastOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AaaOut,The AM305AaaOut Raw Data Web Service contains operations that expose AM305AaaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AdwOut,The AM305AdwOut Raw Data Web Service contains operations that expose AM305AdwOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AgdOut,The AM305AgdOut Raw Data Web Service contains operations that expose AM305AgdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AiuOut,The AM305AiuOut Raw Data Web Service contains operations that expose AM305AiuOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AmlOut,The AM305AmlOut Raw Data Web Service contains operations that expose AM305AmlOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AswOut,The AM305AswOut Raw Data Web Service contains operations that expose AM305AswOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305AuaOut,The AM305AuaOut Raw Data Web Service contains operations that expose AM305AuaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM305LoaOut,The AM305LoaOut Raw Data Web Service contains operations that expose AM305LoaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AbaOut,The AM310AbaOut Raw Data Web Service contains operations that expose AM310AbaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AbdOut,The AM310AbdOut Raw Data Web Service contains operations that expose AM310AbdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AbhOut,The AM310AbhOut Raw Data Web Service contains operations that expose AM310AbhOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AbtOut,The AM310AbtOut Raw Data Web Service contains operations that expose AM310AbtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AbxOut,The AM310AbxOut Raw Data Web Service contains operations that expose AM310AbxOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310AsbOut,The AM310AsbOut Raw Data Web Service contains operations that expose AM310AsbOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310PuhOut,The AM310PuhOut Raw Data Web Service contains operations that expose AM310PuhOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310RcpOut,The AM310RcpOut Raw Data Web Service contains operations that expose AM310RcpOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM310RibOut,The AM310RibOut Raw Data Web Service contains operations that expose AM310RibOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM320Am320work2,The AM320Am320work2 Raw Data Web Service contains operations that expose AM320Am320work2-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM320Am320work3,The AM320Am320work3 Raw Data Web Service contains operations that expose AM320Am320work3-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbaOut,The AM330AbaOut Raw Data Web Service contains operations that expose AM330AbaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbdOut,The AM330AbdOut Raw Data Web Service contains operations that expose AM330AbdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbhOut,The AM330AbhOut Raw Data Web Service contains operations that expose AM330AbhOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbkOut,The AM330AbkOut Raw Data Web Service contains operations that expose AM330AbkOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbtOut,The AM330AbtOut Raw Data Web Service contains operations that expose AM330AbtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AbxOut,The AM330AbxOut Raw Data Web Service contains operations that expose AM330AbxOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AdsOut,The AM330AdsOut Raw Data Web Service contains operations that expose AM330AdsOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AiaOut,The AM330AiaOut Raw Data Web Service contains operations that expose AM330AiaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AmtOut,The AM330AmtOut Raw Data Web Service contains operations that expose AM330AmtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
